from,to,line,direction,time
111,112,1号线,往富锦路,1
112,111,1号线,往莘庄,2
112,113,1号线,往富锦路,1
113,112,1号线,往莘庄,1
113,114,1号线,往富锦路,2
114,113,1号线,往莘庄,2
114,115,1号线,往富锦路,2
115,114,1号线,往莘庄,2
115,116,1号线,往富锦路,2
116,115,1号线,往莘庄,2
116,117,1号线,往富锦路,1
117,116,1号线,往莘庄,1
117,118,1号线,往富锦路,1
118,117,1号线,往莘庄,1
118,119,1号线,往富锦路,1
119,118,1号线,往莘庄,1
119,120,1号线,往富锦路,1
120,119,1号线,往莘庄,1
120,121,1号线,往富锦路,1
121,120,1号线,往莘庄,1
121,122,1号线,往富锦路,1
122,121,1号线,往莘庄,1
122,123,1号线,往富锦路,2
123,122,1号线,往莘庄,1
123,124,1号线,往富锦路,1
124,123,1号线,往莘庄,1
124,125,1号线,往富锦路,1
125,124,1号线,往莘庄,1
125,126,1号线,往富锦路,2
126,125,1号线,往莘庄,1
126,127,1号线,往富锦路,1
127,126,1号线,往莘庄,1
127,128,1号线,往富锦路,1
128,127,1号线,往莘庄,1
128,129,1号线,往富锦路,1
129,128,1号线,往莘庄,1
129,130,1号线,往富锦路,2
130,129,1号线,往莘庄,2
130,131,1号线,往富锦路,2
131,130,1号线,往莘庄,2
131,132,1号线,往富锦路,2
132,131,1号线,往莘庄,2
132,133,1号线,往富锦路,2
133,132,1号线,往莘庄,2
133,134,1号线,往富锦路,1
134,133,1号线,往莘庄,1
134,135,1号线,往富锦路,2
135,134,1号线,往莘庄,2
135,136,1号线,往富锦路,2
136,135,1号线,往莘庄,2
136,137,1号线,往富锦路,1
137,136,1号线,往莘庄,1
137,138,1号线,往富锦路,1
138,137,1号线,往莘庄,1
233,234,2号线,往浦东1号2号航站楼,2
234,233,2号线,往蟠祥路·国家会计学院,2
234,235,2号线,往浦东1号2号航站楼,2
235,234,2号线,往蟠祥路·国家会计学院,2
235,236,2号线,往浦东1号2号航站楼,1
236,235,2号线,往蟠祥路·国家会计学院,1
236,237,2号线,往浦东1号2号航站楼,6
237,236,2号线,往蟠祥路·国家会计学院,5
237,238,2号线,往浦东1号2号航站楼,2
238,237,2号线,往蟠祥路·国家会计学院,2
238,239,2号线,往浦东1号2号航站楼,2
239,238,2号线,往蟠祥路·国家会计学院,2
239,240,2号线,往浦东1号2号航站楼,2
240,239,2号线,往蟠祥路·国家会计学院,2
240,241,2号线,往浦东1号2号航站楼,2
241,240,2号线,往蟠祥路·国家会计学院,2
241,242,2号线,往浦东1号2号航站楼,2
242,241,2号线,往蟠祥路·国家会计学院,2
242,243,2号线,往浦东1号2号航站楼,2
243,242,2号线,往蟠祥路·国家会计学院,2
243,244,2号线,往浦东1号2号航站楼,2
244,243,2号线,往蟠祥路·国家会计学院,2
244,245,2号线,往浦东1号2号航站楼,2
245,244,2号线,往蟠祥路·国家会计学院,1
245,246,2号线,往浦东1号2号航站楼,1
246,245,2号线,往蟠祥路·国家会计学院,1
246,247,2号线,往浦东1号2号航站楼,2
247,246,2号线,往蟠祥路·国家会计学院,2
247,248,2号线,往浦东1号2号航站楼,2
248,247,2号线,往蟠祥路·国家会计学院,2
248,249,2号线,往浦东1号2号航站楼,2
249,248,2号线,往蟠祥路·国家会计学院,2
249,250,2号线,往浦东1号2号航站楼,2
250,249,2号线,往蟠祥路·国家会计学院,2
250,251,2号线,往浦东1号2号航站楼,2
251,250,2号线,往蟠祥路·国家会计学院,2
251,252,2号线,往浦东1号2号航站楼,1
252,251,2号线,往蟠祥路·国家会计学院,1
252,253,2号线,往浦东1号2号航站楼,3
253,252,2号线,往蟠祥路·国家会计学院,3
253,254,2号线,往浦东1号2号航站楼,1
254,253,2号线,往蟠祥路·国家会计学院,1
254,255,2号线,往浦东1号2号航站楼,2
255,254,2号线,往蟠祥路·国家会计学院,2
255,256,2号线,往浦东1号2号航站楼,4
256,255,2号线,往蟠祥路·国家会计学院,4
256,257,2号线,往浦东1号2号航站楼,2
